UID          PID    PPID  C STIME TTY          TIME CMD
talberd     1501    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
talberd     1506    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-sharing
talberd     1516    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-smartcard
talberd     1517    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-sound
talberd     1518    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-usb-protection
talberd     1519    1344  0 13:04 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
talberd     1523    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-wacom
talberd     1527    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-wwan
talberd     1529    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-xsettings
talberd     1544    1344  0 13:04 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
talberd     1572    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-printer
talberd     1616    1385  0 13:04 ?        00:00:00 /usr/libexec/ibus-engine-simple
talberd     1637    1121  0 13:04 ?        00:00:00 /usr/libexec/gnome-initial-setup --existing-user
talberd     1751    1344  0 13:05 ?        00:00:00 update-notifier
talberd     1870    1121  0 13:05 ?        00:00:07 /usr/libexec/gnome-terminal-server
talberd     1878    1870  0 13:05 pts/0    00:00:00 bash
talberd     3673    1121  0 13:12 ?        00:00:00 ssh-agent -s
talberd     3746    1121  0 13:31 ?        00:00:00 ssh-agent -s
root        5020       2  0 14:14 ?        00:00:00 [loop5]
root        5107       2  0 14:14 ?        00:00:00 [loop6]
root        5123       1  0 14:15 ?        00:00:16 /usr/lib/snapd/snapd
root        5363       2  0 14:15 ?        00:00:00 [loop7]
root        5463       2  0 14:16 ?        00:00:00 [loop8]
root        5565       2  0 14:16 ?        00:00:00 [loop9]
root        5637       2  0 14:16 ?        00:00:00 [loop10]
root        5733       2  0 14:16 ?        00:00:00 [loop11]
root        5863       2  0 14:16 ?        00:00:00 [loop12]
root        5993       2  0 15:14 ?        00:00:02 [kworker/0:2-cgroup_destroy]
talberd     6208    1121  0 16:08 ?        00:00:00 /usr/bin/seahorse --gapplication-service
talberd     6209    1121  0 16:08 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
root        6320       2  0 16:08 ?        00:00:00 [kworker/u2:0-events_power_efficient]
root        6333       2  0 16:14 ?        00:00:00 [kworker/u2:2-events_unbound]
root        6359       2  0 16:18 ?        00:00:00 [kworker/0:1-events]
talberd     7072    1878  0 16:25 pts/0    00:00:00 ps -ef
